Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-17,136.4600067138672,138.4199981689453,136.3000030517578,137.7899932861328,3667600,0,0
2022-08-18,137.7899932861328,139.1199951171875,137.75,139.07000732421875,3177700,0,0
2022-08-19,138.75,139.33999633789062,137.66000366210938,138.3699951171875,3155800,0,0
2022-08-22,137.64999389648438,137.85000610351562,135.47000122070312,135.5500030517578,3093600,0,0
2022-08-23,135.3699951171875,136.10000610351562,134.72000122070312,134.74000549316406,4141800,0,0
2022-08-24,134.88999938964844,135.11000061035156,133.11000061035156,133.22999572753906,2855400,0,0
2022-08-25,133.64999389648438,134.42999267578125,133.07000732421875,133.97999572753906,2706000,0,0
2022-08-26,134.10000610351562,134.17999267578125,130.33999633789062,130.3800048828125,4185300,0,0
2022-08-29,129.99000549316406,131.4199981689453,129.57000732421875,130.30999755859375,2783000,0,0
2022-08-30,130.55999755859375,130.77000427246094,129.2899932861328,129.5800018310547,2407900,0,0
2022-08-31,129.9199981689453,130.0,128.39999389648438,128.4499969482422,3490400,0,0
2022-09-01,128.39999389648438,129.82000732421875,127.73999786376953,129.66000366210938,3396200,0,0
2022-09-02,130.3000030517578,130.55999755859375,127.23999786376953,127.79000091552734,3040600,0,0
2022-09-06,127.80000305175781,128.05999755859375,126.30000305175781,126.72000122070312,3347100,0,0
2022-09-07,126.69000244140625,127.87000274658203,126.27999877929688,127.70999908447266,2401500,0,0
2022-09-08,127.19999694824219,128.5399932861328,126.58999633789062,128.47000122070312,2964600,0,0
2022-09-09,128.89999389648438,129.49000549316406,128.05999755859375,129.19000244140625,3291900,0,0
2022-09-12,130.3300018310547,130.99000549316406,129.88999938964844,130.66000366210938,3741100,0,0
2022-09-13,129.13999938964844,129.91000366210938,126.7699966430664,127.25,4565600,0,0
2022-09-14,127.5,129.0,126.8499984741211,127.69000244140625,3819100,0,0
2022-09-15,127.38999938964844,127.47000122070312,124.9000015258789,125.48999786376953,5141700,0,0
2022-09-16,124.36000061035156,127.52999877929688,123.83000183105469,127.2699966430664,9838600,0,0
